time,conc
0,0
0,0
0.25,17.04226924
0.25,16.54365428
0.25,26.68230397
0.25,23.52440923
0.25,22.85958929
0.25,22.85958929
0.5,16.46404471
0.5,15.88232726
0.5,17.46127463
0.5,13.30614997
0.5,9.48358083
0.5,12.97403108
0.75,13.72515536
0.75,9.07141575
0.75,15.96892268
0.75,14.97169276
0.75,12.89413043
0.75,16.88319564
1,10.6537105
1,7.163551334
1,11.16615162
2,5.930694558
2,6.678762535
2,7.509787465
2,8.922529848
2,8.340957935
3,4.448675842
3,5.196743818
3,9.0194585
3,5.196743818
3,6.443426753
3,5.861709301
4,2.883554633
4,4.46264754
4,3.13300765
4,5.127613023
4,6.457252912
6,2.080473097
6,1.581858139
6,2.579088056
6,3.659420466